Transaction_Page,Financial_Page,Rows,Coordinate_Match,Text_Crosscheck
1,45,44,True,True
2,46,46,True,True
3,47,46,True,True
4,48,46,True,True
5,49,46,True,True
6,50,46,True,True
7,51,46,True,True
8,52,46,True,True
9,53,46,True,True
10,54,46,True,True
11,55,46,True,True
12,56,46,True,True
13,57,46,True,True
14,58,46,True,True
15,59,46,True,True
16,60,46,True,True
17,61,46,True,True
18,62,46,True,True
19,63,46,True,True
20,64,46,True,True
21,65,46,True,True
22,66,46,True,True
23,67,46,True,True
24,68,46,True,True
25,69,46,True,True
26,70,46,True,True
27,71,46,True,True
28,72,46,True,True
29,73,46,True,True
30,74,46,True,True
31,75,46,True,True
32,76,46,True,True
33,77,46,True,True
34,78,46,True,True
35,79,46,True,True
36,80,46,True,True
37,81,46,True,True
38,82,46,True,True
39,83,46,True,True
40,84,46,True,True
41,85,46,True,True
42,86,46,True,True
43,87,46,True,True
44,88,24,True,True
